X Y A R logL
67.0775362605 166.338744589 12.3774246335 8.80330032472 -117507.426229
29.8911521177 79.3670160348 11.949544176 8.90001660418 -117385.244009
178.119021698 54.3550412265 11.729492649 8.89782101206 -117345.771262
119.121949509 170.280410707 12.1166601848 8.56704960237 -117344.719305
159.213510232 129.208418347 11.534887647 8.90779328411 -117197.674121
157.271907958 33.6745419533 12.3824939039 8.63266827606 -117146.016796
51.0289475878 128.71737013 12.3429070477 8.37498206758 -117125.48712
119.745336148 127.532967421 12.439586484 8.33975984365 -117096.601087
16.8603193183 27.7741753483 11.4786151098 8.8362125916 -117095.824325
42.7834319513 76.9214459575 11.7047330885 8.51596923027 -116945.787961
67.4547348938 19.1339157432 11.1726115724 8.92225013268 -116879.612215
165.187924674 62.5354707644 12.3806153523 8.01015096426 -116844.258618
127.941808177 164.587575182 11.0076363167 8.79203840804 -116787.622254
88.8328775435 69.2432645183 11.7174355619 8.28878357458 -116712.097474
179.657391456 163.757296014 10.8945948511 8.92365281757 -116622.091795
29.7845888405 129.809622794 11.9024278206 8.1636503188 -116603.078739
137.670445548 143.540067788 12.3874522816 7.59990504185 -116579.598814
73.7920594769 190.201284981 12.3682888064 8.05255846577 -116555.394597
124.202413054 76.4377188871 12.2785699009 7.6008249502 -116554.119092
6.514101216 136.354829861 12.451126248 8.03518235933 -116497.949151
125.43420832 68.1964514212 11.5029292788 8.01262991666 -116410.33297
57.0254888374 65.4764078977 11.135076807 8.13727924484 -116364.416812
124.916432477 189.900975392 12.2694283247 7.88996150666 -116250.292372
79.5243878925 48.7191870757 10.9834646204 8.28866275121 -116235.822176
136.881384941 44.3851828037 11.7386437744 7.76438961376 -116207.899125
134.331332488 82.9019442333 10.0575947814 8.87871827727 -116181.286833
154.672595344 138.279044124 11.2335684102 7.8733897274 -116093.310835
91.2585468256 121.10520118 11.1160971363 8.34112505115 -116089.396641
119.575231858 97.4481480523 9.89850461594 8.72127681743 -116064.900088
31.4116937683 92.2093677258 11.147286974 8.0788256055 -116063.191403
196.520346461 56.2797055562 12.3237785811 8.61477773256 -116018.138465
63.1609445556 94.3069586605 10.3351414958 8.4766637293 -115969.878422
137.552433283 45.7535484148 12.0234553079 7.25046907642 -115932.728974
113.820979574 29.4278650798 10.014001125 8.60335071191 -115923.743557
164.491730486 61.3156313698 10.6507532405 8.1175555923 -115918.458362
74.5253775697 36.0336636527 11.6713843299 7.34590456946 -115902.444148
77.8937630001 62.2640577352 12.1325530171 7.0436900229 -115896.664345
187.149670291 22.6097289668 10.9841246501 7.91246150845 -115870.465492
2.73560401059 12.1410520522 11.6253387786 8.56698936616 -115867.174111
190.637563462 75.3193961326 12.4971558653 7.05625971305 -115863.156669
191.588302673 67.9485471602 11.5164694265 7.71595391374 -115839.675008
72.0315750092 190.143329834 11.6726170987 7.54171327511 -115811.959257
128.016045632 11.0333968644 9.68524385723 8.66745403966 -115760.783368
36.5844218454 189.472631582 9.57291385662 8.86465992206 -115740.019375
76.3763868143 191.715274696 11.8547790567 7.5007549516 -115738.390959
107.487146904 97.000343216 11.0700590063 7.34410775788 -115734.569603
32.6246347485 170.137855326 11.8243343525 7.55375017417 -115734.294184
118.38861914 122.941117814 9.70720656026 8.77830676827 -115706.17091
51.515842123 42.0526267242 10.1363390933 8.22919380373 -115693.330759
125.013631155 120.595734675 11.8654987173 7.16992635204 -115692.607175
157.649696 88.6914278761 9.54881175189 8.86536486701 -115673.478789
148.662508857 153.382254713 9.89104365916 8.57274048405 -115673.465782
153.321478773 95.3005553128 11.837571426 7.18046209741 -115671.811562
85.3711728413 148.919129498 12.248639055 6.76878005468 -115668.664569
109.354803655 187.658032589 9.95805893092 8.70000975475 -115668.203876
143.485077497 31.7164345006 11.5797712093 7.26190975709 -115639.75782
10.7421453177 105.993700077 10.7961874547 7.78478995482 -115622.941104
186.135402637 113.624089125 10.6352792999 7.60870966022 -115599.760607
122.575375988 56.0212852287 10.4204136945 7.75317694067 -115581.720475
180.333836777 174.163278205 11.1796396539 7.18814149069 -115574.595364
170.058321964 32.6824551526 10.3869268482 7.91626672785 -115571.665558
40.3349504847 39.6258607395 10.9375537682 7.76176719431 -115569.816317
55.1808776017 168.049707633 10.8014085411 7.55037139364 -115565.080136
159.270417899 99.9498196827 9.44264875233 8.62467568767 -115554.215952
89.1555406917 31.0028141942 11.0754747953 7.31629888264 -115549.853004
59.8317434959 107.396145298 9.84429500745 8.21013947308 -115548.37139
116.797686912 133.194401531 12.3371038935 6.60121151024 -115531.961295
178.751584472 7.64220970161 12.3042900721 6.50979161496 -115531.420834
123.07540532 152.441222286 10.6439241984 7.51683597 -115528.639474
153.19411216 30.2304002433 12.0990413645 7.01723402445 -115525.433566
118.532145733 168.432770438 9.52171557085 8.25108252975 -115519.35368
27.6127465509 75.7808382635 12.0138326253 6.71397617393 -115516.882675
90.6092391259 120.377964999 11.9392511043 6.96226274589 -115445.928757
46.531041195 145.269907838 9.84469865668 8.09046724681 -115439.17721
54.1300218421 189.284975857 9.94564997752 8.04528618885 -115404.48834
38.1663964076 194.27630321 12.1945279751 6.75883206044 -115388.807731
55.3331899475 195.821092649 11.6707007921 7.78659463147 -115380.12568
106.782462721 130.151822202 9.98262377738 7.88753065973 -115376.525389
70.953359803 110.248083808 10.1816941085 7.60940898154 -115375.791842
100.430090594 166.932025685 9.41585214495 8.36279181651 -115364.146232
51.8728646929 86.5660446307 12.3977330057 6.18170875783 -115339.16074
123.326488309 159.613530871 11.6787646935 6.55921486459 -115338.099039
152.339758236 184.00181182 11.5284096406 6.80009610194 -115301.054265
92.9136294539 10.8413210001 12.3509884467 6.3372047565 -115269.003531
127.061615479 53.0019080195 11.6146689257 6.53381935724 -115254.402335
23.4804247011 91.1868305725 12.4890079704 6.17205047645 -115245.708119
147.510258213 179.708791008 10.1504694512 7.75693116406 -115242.924691
97.8109870977 97.3320865802 9.34132007275 8.18073880122 -115222.171386
66.6900526675 189.39925135 9.30410759951 8.37348783325 -115204.543113
145.738200847 23.0785812638 12.0148419078 6.32582474018 -115198.627727
146.176970536 91.1144704721 10.7443206349 7.18499608431 -115191.692498
149.069113392 31.6075734111 11.3987035701 6.89896505216 -115186.374061
83.6171263805 99.3306916756 8.6075883617 8.98341424644 -115175.238826
63.3831189052 7.26629525506 10.9417310619 7.04453201518 -115172.160911
90.9566163385 123.809227252 10.2428964006 7.47647481217 -115158.811078
189.55707104 5.42193729841 11.8898473183 6.51859382135 -115149.355856
38.2428893064 87.1204810529 9.20971856005 8.10864751336 -115147.990756
5.41655729104 51.8708792541 10.8061291374 7.45573353132 -115145.803657
27.8898916886 4.6222336507 11.4128242749 7.17359181906 -115143.587917
109.548189478 117.093022198 12.2651400071 6.23035344262 -115131.464396
162.666019363 16.4160563444 10.7625280536 6.93170745778 -115127.331834
38.1936600891 83.2555348445 12.2243398003 5.98768732855 -115124.207059
119.444514096 116.649821872 9.06569816358 8.37119855929 -115117.734205
63.9085740461 137.442678776 11.3741181618 6.49096097931 -115104.270602
120.650726281 196.028863447 10.9813096657 8.11338413759 -115103.449471
51.7248092828 46.5879986272 10.0613249611 7.17756234744 -115100.183081
24.8352287763 3.63544150442 12.0066843382 6.87746595823 -115096.569124
146.0802393 100.45197925 8.76924257564 8.49289661148 -115085.523991
56.0114566381 132.695618201 8.44563393613 8.71837680368 -115080.493337
159.255058568 62.0554289147 10.2532189148 7.15344187366 -115071.945248
78.0846384248 54.1449893574 9.33374127308 7.78810816587 -115062.01409
166.016898562 139.117470252 8.91614692975 8.1287535437 -115060.560057
116.888713119 50.750440843 9.30552514579 7.75063573685 -115031.658219
89.8357596226 108.442369376 8.79468052649 8.82166226176 -115025.207825
12.3546621644 90.6331891346 10.0621083996 7.18014842941 -115022.279078
139.841487356 121.627745185 11.3609180104 6.50817343885 -115020.69323
71.6988841092 72.1488194168 8.89149061789 8.0292239132 -115018.721114
199.945278785 88.7909885301 12.3650284416 8.73665176972 -115005.929737
109.695570233 25.4831661459 10.6180345506 6.75543837035 -115002.434294
88.5345633398 5.72627033379 11.7653577038 6.54587503943 -115001.958062
83.559914486 145.845146173 10.6310785733 6.65158417337 -114997.340199
22.1608768777 156.38148401 8.84878177095 8.46053367266 -114995.81202
100.973143981 99.7938332588 10.2760321599 7.00093306831 -114993.905282
143.623869596 44.538477808 9.12266200476 8.02352283163 -114986.148533
161.93705765 69.411482265 10.145134021 7.11197803662 -114982.963535
75.2488286685 54.3781817951 8.89879277423 7.98623774493 -114982.757965
5.84973849496 175.493537208 10.6892260777 7.1550272211 -114969.340653
137.696127595 96.853185323 11.6340580291 6.14793059206 -114954.693124
179.486056056 110.337049756 8.63302263384 8.01264976727 -114916.461407
193.630311305 168.696088956 12.459099128 5.81081635659 -114910.208849
63.158190085 107.362513121 10.076211682 6.90810471552 -114903.105533
147.526250772 151.207023937 9.81556221571 7.12223588451 -114886.621477
27.1101481572 155.350347376 9.32759295552 8.01117726617 -114885.117366
129.274354685 136.424269568 8.85846692357 7.79274457148 -114871.847107
59.9281181079 51.5929977335 9.61685351454 6.98511543841 -114851.882062
95.8690382012 126.441003326 8.48314208651 8.30167889058 -114840.406301
62.2327352795 93.8478662361 9.07620372136 7.58122365323 -114829.711837
126.159720771 189.246289239 8.67683240878 8.50188154147 -114823.621957
